帆船名称,Beam（船宽）,Displacement（排水量）,S.A./Disp.（帆面积与排水量之比）,燃料容量,水容量,Rigging Type（索具类型）,制造商,型号,Mast Height from DWL（离水线至桅杆顶部的高度）
Beneteau-Sense-46,4.43 m,"11,030 kg",16.53,200 L,570 L,松散式帆具,Beneteau,Cruiser,19.7 m
Alliage-44,4.1 m,"14,000 kg",16.27,480 L,680 L,Cutter,Alliage,Cruiser,17.8 m
Nautor-Swan-50,4.48 m,"17,200 kg",20.92,400 L,750 L,Fractional Sloop,Nautor Swan,Cruiser,22.85 m
Jeanneau-Sun-Odyssey-53,4.77 m,"15,500 kg",17.32,240 L,950 L,Fractional Sloop,Jeanneau,Cruiser,20.75 m
Catalina-Morgan-440-DS-Sloop,4.22 m,"12,474 kg",18.52,265 L,490 L,Fractional Sloop,Catalina,Cruiser,17.13 m
Harmony-38,3.88 m,"8,530 kg",17.63,200 L,355 L,Fractional Sloop,Poncin Yachts,Cruiser,17.4 m
Oyster-545,5.18 m,"26,580 kg",17.12,"1,500 L",960 L,Cutter,Oyster,Cruiser,23.49 m
X-Yachts-Xc-38,3.6 m,"7,500 kg",23.97,200 L,340 L,Fractional Sloop,X-Yachts,Cruiser,18.95 m
Jeanneau-Sun-Odyssey-40,3.95 m,"7,800 kg",16.11,200 L,330 L,Fractional Sloop,Jeanneau,Cruiser,16.54 m
Nauticat-441-Ketch,4.1 m,"16,500 kg",15.51,900 L,700 L,Ketch,Nauticat,Cruiser,18.5 m
Jeanneau-Sun-Odyssey-490,4.49 m,"12,800 kg",17.57,240 L,720 L,Fractional Sloop,Jeanneau,Cruiser,20.75 m
Beneteau-First-45,4.2 m,"10,600 kg",21.15,200 L,570 L,Fractional Sloop,Beneteau,Racer,21.5 m
Dufour-390,3.98 m,"7,750 kg",17.41,200 L,380 L,Fractional Sloop,Dufour,Cruiser,18.1 m
Beneteau-Oceanis-38,3.99 m,"6,790 kg",18.45,130 L,330 L,Fractional Sloop,Beneteau,Cruiser,15.6 m
RM-Yachts-RM-1270,4.35 m,"9,000 kg",21.28,300 L,400 L,Fractional Sloop,RM Yachts,Cruiser,20.7 m
Dehler-Varianta-44,4.17 m,"10,200 kg",17.86,210 L,330 L,Fractional Sloop,Dehler,Cruiser,20.85 m
Jeanneau-Sun-Odyssey-49-Owners-version,4.49 m,"12,600 kg",17.42,240 L,700 L,Fractional Sloop,Jeanneau,Cruiser,20.75 m
Nordship-DSC-38,3.70 m,"9,500 kg",15.34,250 L,425 L,Ketch,Nordship,Cruiser,16.00 m
Beneteau-Oceanis-50.5,4.82 m,"14,200 kg",16.3,440 L,"1,000 L",Fractional Sloop,Beneteau,Cruiser,20.00 m
Caliber-47LRC,4.29 m,"16,300 kg",15.52,675 L,"1,300 L",Masthead Sloop,Caliber,Cruiser,19.15 m
Hunter-50,4.47 m,"14,800 kg",16.11,570 L,757 L,B&R Rig,Hunter,Cruiser,22.25 m
Malo-46,4.33 m,"16,000 kg",15.97,440 L,530 L,Fractional Sloop,Malo,Cruiser,19.85 m
Island-Packet-485,4.75 m,"18,597 kg",14.74,757 L,"1,213 L",Cutter,Island Packet,Cruiser,20.73 m
Bavaria-51-Cruiser-Style,4.67 m,"13,490 kg",17.5,280 L,650 L,Fractional Sloop,Bavaria,Cruiser,20.53 m
Dufour-500-GL,4.77 m,"13,905 kg",16.6,500 L,720 L,Fractional Sloop,Dufour,Cruiser,22.11 m
Dufour-45e-Performance,4.3 m,"10,400 kg",18.22,250 L,450 L,Fractional Sloop,Dufour,Performance,21.4 m
Vismara-54,4.38 m,"14,500 kg",23.16,350 L,600 L,Fractional Sloop,Vismara,Cruiser,22.14 m
Elan-Impression-384,3.91 m,"8,800 kg",17.98,165 L,400 L,Fractional Sloop,Elan,Cruiser,18.92 m
X-Yachts-Xp-38,3.62 m,"7,900 kg",27.94,200 L,300 L,Fractional Sloop,X-Yachts,Cruiser,19.99 m
Beneteau-Oceanis-43,4.12 m,"8,600 kg",16.31,200 L,360 L,Fractional Sloop,Beneteau,Cruiser,17.4 m
Beneteau-Oceanis-523,4.88 m,"15,500 kg",15.09,450 L,"1,000 L",Masthead Sloop,Beneteau,Cruiser,23.37 m
Sabre-456-MK-II,4.14 m,"13,854 kg",17.21,303 L,568 L,Fractional Sloop,Sabre Yachts,Cruiser,19.81 m
Alubat-Ovni-395,4.32 m,"10,500 kg",14.97,240 L,600 L,Fractional Sloop,Alubat,Cruiser,18.4 m
Bavaria-56-Cruiser,5.28 m,"18,600 kg",15.12,660 L,800 L,Fractional Sloop,Bavaria Yachts,Cruiser,24.2 m
Jeanneau Sun Odyssey 45 DS,4.37 m,"11,500 kg",17.39,240 L,610 L,Masthead sloop (梅斯特头单桅帆船),Jeanneau,Cruiser (巡航艇),18.06 m
Dufour 445,4.30 m,"10,900 kg",18.11,250 L,530 L,Masthead sloop (梅斯特头单桅帆船),Dufour Yachts,Cruiser (巡航艇),19.30 m
Sly 47,4.60 m,"12,500 kg",20.31,320 L,600 L,Fractional sloop (分型单桅帆船),Sly Yachts,Cruiser-racer (巡航赛艇),21.90 m
Elan 434 Impression,4.18 m,"10,900 kg",17.2,270 L,516 L,Fractional sloop (分型单桅帆船),Elan,Cruiser (巡航艇),17.25 m
X-Yachts X-46,4.39 m,"12,700 kg",20.11,300 L,460 L,Fractional sloop (分型单桅帆船),X-Yachts,Cruiser-racer (巡航赛艇),21.43 m
Salona S41,3.95 m,"7,700 kg",20.24,200 L,330 L,Fractional sloop (分型单桅帆船),Salona Yachts,Cruiser-racer (巡航赛艇),19.00 m
Dufour 385,3.93 m,"7,825 kg",17.35,160 L,440 L,Fractional sloop (分型单桅帆船),Dufour Yachts,Cruiser (巡航艇),16.32 m
Jeanneau Sun Odyssey 439,4.24 m,"10,800 kg",18.19,200 L,530 L,Masthead sloop (梅斯特头单桅帆船),Jeanneau,Cruiser (巡航艇),19.05 m
Beneteau 56,5.20 m,"18,600 kg",18.98,480 L,1000 L,Masthead sloop (梅斯特头单桅帆船),Beneteau,Cruiser (巡航艇),24.28 m
X-Yachts Xp 44,4.16 m,"9,700 kg",25.2,200 L,340 L,Fractional sloop (分型单桅帆船),X-Yachts,Cruiser-racer (巡航赛艇),20.30 m
Elan Impression 434,4.18 m,"10,900 kg",17.2,270 L,516 L,Fractional sloop (分型单桅帆船),Elan,Cruiser (巡航艇),17.25 m
Dufour 520 GL,4.99 m,"15,900 kg",16.32,500 L,720 L,Fractional sloop (分型单桅帆船),Dufour Yachts,Cruiser (巡航艇),23.60 m
Jeanneau Sun Odyssey 41DS,4.00 m,"7,800 kg",18.42,200 L,330 L,Masthead sloop (梅斯特头单桅帆船),Jeanneau,Cruiser (巡航艇),15.50 m
Island Packet 465,4.57 m,"15,000 kg",15.46,757 L,757 L,Cutter (三桅多桅帆船),Island Packet Yachts,Cruiser (巡航艇),17.98 m
Jeanneau 42 DS,4.13 m,"8,925 kg",17.43,200 L,355 L,Masthead sloop (梅斯特头单桅帆船),Jeanneau,Cruiser (巡航艇),16.35 m
Hunter 41,4.04 m,"8,900 kg",18.56,151 L,284 L,Fractional sloop (分型单桅帆船),Hunter Marine,Cruiser (巡航艇),17.45 m
Bavaria 42 Vision,4.29 m,"9,900 kg",18.3,210 L,360 L,Fractional sloop (分型单桅帆船),Bavaria Yachtbau,Cruiser (巡航艇),17.83 m
Beneteau Cyclades 43,4.43 m,"8,900 kg",17.2,200 L,530 L,Masthead sloop (梅斯特头单桅帆船),Beneteau,Cruiser (巡航艇),17.42 m
Jeanneau Sun Odyssey 42,4.13 m,"8,930 kg",17.61,130 L,355 L,Masthead sloop (梅斯特头单桅帆船),Jeanneau,Cruiser (巡航艇),16.50 m
Comar Comet 450,4.20 m,"11,500 kg",17.9,300 L,500 L,Fractional sloop (分型单桅帆船),Comar Yachts,Cruiser-racer (巡航赛艇),19.50 m
Jeanneau Sun Odyssey 519,4.69 m,"14,935 kg",15.08,240 L,640 L,Masthead sloop (梅斯特头单桅帆船),Jeanneau,Cruiser (巡航艇),23.25 m
Grand Soleil 45 RACING,4.30 m,"10,700 kg",20.8,250 L,450 L,Fractional sloop (分型单桅帆船),Cantiere del Pardo,Racer-cruiser (赛艇巡航艇),21.80 m
Jeanneau 469,4.49 m,"10,950 kg",17.13,240 L,615 L,Masthead sloop (梅斯特头单桅帆船),Jeanneau,Cruiser (巡航艇),21.80 m
Beneteau Oceanis 46 Family,4.25 m,"10,400 kg",16.6,200 L,530 L,Masthead sloop (梅斯特头单桅帆船),Beneteau,Cruiser (巡航艇),19.90 m
Jeanneau Sun Odyssey 509,4.69 m,"13,200 kg",16.05,240 L,615 L,Masthead sloop (梅斯特头单桅帆船),Jeanneau,Cruiser (巡航艇),22.15 m
Wauquiez-Pilot-Saloon-48,4.77 m,"15,000 kg",17.7,600 L,900 L,Cutter rig (双桅单前帆),Wauquiez,Pilot Saloon 48,22.67 m
Grand-Soleil-43-Maletto---GS-43,4.20 m,"9,900 kg",18.1,200 L,360 L,Fractional rig (分帆桅),Grand Soleil,43 Maletto / GS 43,19.5 m
Bavaria-40-Cruiser,3.99 m,"8,600 kg",17.1,210 L,360 L,Fractional rig (分帆桅),Bavaria,40 Cruiser,16.20 m
Comar-Comet-45S,4.20 m,"11,900 kg",19,230 L,600 L,Fractional rig (分帆桅),Comar,Comet 45S,19.5 m
Dufour-460-Performance,4.50 m,"11,035 kg",21.4,250 L,530 L,Fractional rig (分帆桅),Dufour,460 Performance,20.63 m
Sly-42,4.07 m,"8,400 kg",20.8,240 L,420 L,Fractional rig (分帆桅),Sly Yachts,Sly 42,19.85 m
Beneteau-Oceanis-51.1,4.80 m,"13,930 kg",16.1,200 L,770 L,Sloop rig (单桅单前帆),Beneteau,Oceanis 51.1,21.85 m
Beneteau-First-50,4.47 m,"12,695 kg",21.5,400 L,570 L,Fractional rig (分帆桅),Beneteau,First 50,20.00 m
Alliage-AZZURO-53,4.60 m,"20,000 kg",N/A,"1,200 L","1,000 L",Ketch (两桅),Alliage,AZZURO 53,N/A
Beneteau-Oceanis-Clipper-423,3.90 m,"8,990 kg",16.5,200 L,540 L,Fractional rig (分帆桅),Beneteau,Oceanis Clipper 423,16.60 m
Make-Variant,N/A,N/A,N/A,N/A,N/A,N/A,Variant,N/A,N/A
X-Yachts-X4,4.11 m,"8,800 kg",23.3,200 L,340 L,Fractional rig (分帆桅),X-Yachts,X4,20.45 m
Hunter-OV,4.62 m,"12,600 kg",18,378 L,757 L,Cutter rig (双桅单前帆),Hunter,OV,20.63 m
Bavaria-42-Match,3.99 m,"9,700 kg",20.3,210 L,360 L,Fractional rig (分帆桅),Bavaria,42 Match,18.70 m
Jeanneau-Sun-Odyssey-39-DS,3.88 m,"7,800 kg",16.2,200 L,320 L,Fractional rig (分帆桅),Jeanneau,Sun Odyssey 39 DS,16.10 m
Hunter-44,4.27 m,"10,700 kg",17.7,189 L,568 L,Fractional rig (分帆桅),Hunter,44,19.71 m
Dehler-44,4.20 m,"10,400 kg",22.4,210 L,210 L,Fractional rig (分帆桅),Dehler,44,21.60 m
