Make,Variant,"Length 
(ft)",Geographic Region,Country/Region/State ,Listing Price (USD),Year,宽度（米）,排水量（千克）,面积排水比（SA/Disp）,燃油容量（升）,水容量（升）,帆具类型,Mast Height from DWL（离水线至桅杆顶部的高度）
Leopard,43,42.5,Europe,Italy,206708,2006,6.72,12738,22.41,700,780,Leopard Catamarans,
Broadblue,435,43.6,Europe,Greece,267617,2006,7.1,12400,17.31,780,800,Sloop,19.4
Fountaine Pajot,Bahia 46,46,Caribbean,Martinique,345577,2006,7.4,10800,18.26,470,700,Fractional sloop,19.5
Fountaine Pajot,Bahia 46,46,Europe,Italy,242510,2006,7.4,10800,18.26,470,700,Fractional sloop,19.5
Catana,47 Ocean Class,47,Caribbean,Guatemala,516769,2006,7.6,11500,20.24,800,800,Fractional sloop,20.5
Lagoon,50 Owners Version,48,Caribbean,Martinique,450000,2006,8.74,19800,19.05,1056,480,Sloop,27.3
Fountaine Pajot,Orana 44,43,Caribbean,Puerto Rico,315000,2007,13.1,10300,12.74,470,700,Sloop,7.35
Fountaine Pajot,Orana 44,43,USA,Maryland,320000,2007,13.1,10300,12.74,470,700,Sloop,7.35
Knysna,440,44,Caribbean,Trinidad and Tobago,220000,2007,7.4,11500,18.87,400,600,Sloop,20.4
Fountaine Pajot,Salina 48,47,Europe,Turkey,345919,2007,7.7,12000,17.4,480,700,Fractional,20.45
Lagoon,380 S2,38,Europe,Italy,236926,2008,6.63,7264,18.55,200,600,Sloop,15.6
Nautitech,40.2,39,Caribbean,Martinique,216047,2008,6.91,7650,16.69,430,430,Fractional sloop,17.2
Fountaine Pajot,Lavezzi 40,39,Caribbean,Cayman Islands,186733,2008,6.7,7500,17.11,250,530,Fractional sloop,17.5
Leopard,40,39,Europe,France,273094,2008,6.72,8900,18.2,350,780,Sloop,
Alliaura,Feeling 39 DI,39,Europe,France,218645,2008,4,7100,15.1,200,350,Sloop,16.5
Fountaine Pajot,Lavezzi 40,39,Europe,France,194562,2008,6.7,7500,17.11,250,530,Fractional sloop,17.5
Fountaine Pajot,Lavezzi 40,39,Europe,France,194401,2008,6.7,7500,17.11,250,530,Fractional sloop,17.5
Fountaine Pajot,Lavezzi 40,39,Europe,Greece,188278,2008,6.7,7500,17.11,250,530,Fractional sloop,17.5
Fountaine Pajot,Lavezzi 40,39,Europe,Greece,187945,2008,6.7,7500,17.11,250,530,Fractional sloop,17.5
Manta,42 MK IV,42,USA,Florida,270000,2008,6.7,9979,16.36,360,757,Sloop,16.55
Manta,42 MK IV,42,USA,Florida,270000,2008,6.7,9979,16.36,360,757,Sloop,16.55
Fountaine Pajot,Orana 44,43,Caribbean,Saint-Martin,390827,2008,13.1,10300,12.74,470,700,Sloop,7.35
Fountaine Pajot,Orana 44,43,Caribbean,Guatemala,339000,2008,13.1,10300,12.74,470,700,Sloop,7.35
Fountaine Pajot,Orana 44,43,Caribbean,Martinique,309860,2008,13.1,10300,12.74,470,700,Sloop,7.35
Fountaine Pajot,Orana 44,43,Caribbean,Martinique,309506,2008,13.1,10300,12.74,470,700,Sloop,7.35
Fountaine Pajot,Orana 44,43,Europe,France,338636,2008,13.1,10300,12.74,470,700,Sloop,7.35
Fountaine Pajot,Orana 44,43,Europe,Greece,328300,2008,13.1,10300,12.74,470,700,Sloop,7.35
Fountaine Pajot,Orana 44,43,Europe,Greece,328300,2008,13.1,10300,12.74,470,700,Sloop,7.35
Fountaine Pajot,Orana 44,43,Europe,Greece,327968,2008,13.1,10300,12.74,470,700,Sloop,7.35
Fountaine Pajot,Orana 44,43,Europe,Turkey,285231,2008,13.1,10300,12.74,470,700,Sloop,7.35
Fountaine Pajot,Orana 44,43,Europe,Turkey,261424,2008,13.1,10300,12.74,470,700,Sloop,7.35
Nautitech,44,44,Europe,Greece,312493,2008,13.47,10500,9.5,600,600,Sloop,6.81
Leopard,46,46,Caribbean,Martinique,299000,2008,7.57,14100,19.6,700,780,Fractional sloop,23.47
Fountaine Pajot,Salina 48,47,Europe,Greece,503706,2008,7.7,12000,17.4,480,700,Fractional,20.45
Fountaine Pajot,Salina 48,47,Europe,Italy,418744,2008,7.7,12000,17.4,480,700,Fractional,20.45
Fountaine Pajot,Salina 48,47,Europe,Greece,376556,2008,7.7,12000,17.4,480,700,Fractional,20.45
Fountaine Pajot,Salina 48,47,Europe,Greece,376262,2008,7.7,12000,17.4,480,700,Fractional,20.45
Fountaine Pajot,Salina 48,47,Europe,Greece,346188,2008,7.7,12000,17.4,480,700,Fractional,20.45
Fountaine Pajot,Salina 48,47,Europe,Greece,345919,2008,7.7,12000,17.4,480,700,Fractional,20.45
Fountaine Pajot,Salina 48,47,Europe,Greece,333781,2008,7.7,12000,17.4,480,700,Fractional,20.45
Voyage Yachts,500,50,Caribbean,British Virgin Islands,479000,2008,8.53,16330,17.97,1200,1100,Voyage Yachts,
Voyage Yachts,500,50,Caribbean,British Virgin Islands,465000,2008,8.53,16330,17.97,1200,1100,Voyage Yachts,
Voyage Yachts,500,50,USA,Florida,365000,2008,8.53,16330,17.97,1200,1100,Voyage Yachts,
Fountaine Pajot,Lavezzi 40,39,Caribbean,Guadeloupe,205124,2009,6.7,7500,17.11,250,530,Fractional sloop,17.5
Nautitech,40.2,39,Caribbean,Martinique,194422,2009,6.91,7650,16.69,430,430,Fractional sloop,17.2
Nautitech,40.2,39,Caribbean,Martinique,194200,2009,6.91,7650,16.69,430,430,Fractional sloop,17.2
Fountaine Pajot,Lipari 41,40,Caribbean,Belize,194008,2009,6.72,9200,20.1,300,530,Sloop,
Broadblue,415,42,Europe,Spain,364170,2009,6.6,10800,17.2,450,600,Fractional,20
Broadblue,415,42,Europe,Spain,363802,2009,6.6,10800,17.2,450,600,Fractional,20
Fountaine Pajot,Orana 44,43,Caribbean,Saint-Martin,329000,2009,13.1,10300,12.74,470,700,Sloop,7.35
Fountaine Pajot,Orana 44,43,Caribbean,Antigua and Barbuda,327712,2009,13.1,10300,12.74,470,700,Sloop,7.35
Fountaine Pajot,Orana 44,43,USA,Florida,300000,2009,13.1,10300,12.74,470,700,Sloop,7.35
Fountaine Pajot,Salina 48,47,Caribbean,Martinique,314925,2009,7.7,12000,17.4,480,700,Fractional,20.45
Fountaine Pajot,Salina 48,47,Europe,Croatia,315454,2009,7.7,12000,17.4,480,700,Fractional,20.45
Fountaine Pajot,Lipari 41,39,Caribbean,Martinique,297709,2010,6.72,9200,20.1,300,530,Sloop,
Fountaine Pajot,Lipari 41,39,Caribbean,Martinique,297369,2010,6.72,9200,20.1,300,530,Sloop,
Lagoon,400 Owners Version,39,Caribbean,Belize,285000,2010,11.97,10297,9,400,600,Sloop,7.25
Fountaine Pajot,Lipari 41,39,Europe,Portugal,278887,2010,6.72,9200,20.1,300,530,Sloop,
Fountaine Pajot,Lipari 41,39,Europe,France,218882,2010,6.72,9200,20.1,300,530,Sloop,
Fountaine Pajot,Lavezzi 40,39,Europe,France,205506,2010,6.7,7500,17.11,250,530,Fractional sloop,17.5
Fountaine Pajot,Lavezzi 40,39,Europe,France,205284,2010,6.7,7500,17.11,250,530,Fractional sloop,17.5
Lagoon,421,42,Europe,Turkey,437734,2010,7.5,12100,16.5,600,900,Fractional,19.45
Lagoon,421,42,Europe,Italy,327968,2010,7.5,12100,16.5,600,900,Fractional,19.45
Lagoon,421,42,Europe,Italy,327712,2010,7.5,12100,16.5,600,900,Fractional,19.45
Lagoon,421,42,Europe,Greece,285231,2010,7.5,12100,16.5,600,900,Fractional,19.45
Fountaine Pajot,Orana 44,43,USA,Florida,390000,2010,13.1,10300,12.74,470,700,Sloop,7.35
Nautitech,441,44,Caribbean,Martinique,346188,2010,6.81,10500,22.6,600,900,Fractional,19.2
Nautitech,441,44,Caribbean,Martinique,345919,2010,6.81,10500,22.6,600,900,Fractional,19.2
Nautitech,441,44,Caribbean,Martinique,291527,2010,6.81,10500,22.6,600,900,Fractional,19.2
Nautitech,441,44,Caribbean,Martinique,291300,2010,6.81,10500,22.6,600,900,Fractional,19.2
Nautitech,441,44,Caribbean,Martinique,282000,2010,6.81,10500,22.6,600,900,Fractional,19.2
Nautitech,441,44,Caribbean,Guadeloupe,269724,2010,6.81,10500,22.6,600,900,Fractional,19.2
Nautitech,442 Owners Version,44,Europe,Croatia,437734,2010,6.81,10500,23.27,600,600,Sloop,20.8
Nautitech,442 Owners Version,44,Europe,Croatia,437231,2010,6.81,10500,23.27,600,600,Sloop,20.8
Antares,44i,44,USA,Florida,525000,2010,13.46,11500,9,700,750,Sloop,7.54
Antares,44i,44,USA,Florida,495000,2010,13.46,11500,9,700,750,Sloop,7.54
Leopard,46,46,Caribbean,Saint-Martin,415000,2010,7.57,14100,19.6,700,780,Fractional sloop,23.47
Leopard,46,46,Caribbean,Grenada,335000,2010,7.57,14100,19.6,700,780,Fractional sloop,23.47
Chris White,Atlantic 48,48.7,USA,Washington,565000,2010,14.63,9979,10,800,800,Masthead Sloop,4.22
Voyage Yachts,500 Owner's Version,50,USA,Florida,595000,2010,15.24,15876,10,1200,800,Sloop,7.92
Fountaine Pajot,Lipari 41,39,Caribbean,Martinique,218725,2011,6.72,9200,20.1,300,530,Sloop,
Fountaine Pajot,Lipari 41,39,Europe,Italy,346563,2011,6.72,9200,20.1,300,530,Sloop,
Fountaine Pajot,Lipari 41,39,Europe,Malta,302787,2011,6.72,9200,20.1,300,530,Sloop,
Fountaine Pajot,Lipari 41,39,Europe,Turkey,267522,2011,6.72,9200,20.1,300,530,Sloop,
Fountaine Pajot,Lipari 41,39,Europe,Turkey,266761,2011,6.72,9200,20.1,300,530,Sloop,
Fountaine Pajot,Lipari 41,39,Europe,Turkey,266761,2011,6.72,9200,20.1,300,530,Sloop,
Fountaine Pajot,Lipari 41,39,Europe,Croatia,194562,2011,6.72,9200,20.1,300,530,Sloop,
Fountaine Pajot,Lipari 41,39,Europe,Croatia,169026,2011,6.72,9200,20.1,300,530,Sloop,
Lagoon,421,42,Europe,Portugal,333781,2011,7.5,12100,16.5,600,900,Fractional,19.45
Lagoon,421,42,Europe,Italy,297902,2011,7.5,12100,16.5,600,900,Fractional,19.45
Lagoon,42 Owners Version,42.5,Europe,Portugal,325000,2011,7.7,12600,18.75,300,600,Sloop,19.8
Lagoon,42 Owners Version,42.5,Europe,Portugal,325000,2011,7.7,12600,18.75,300,600,Sloop,19.8
Fountaine Pajot,Orana 44,43,Europe,Turkey,339850,2011,13.1,10300,12.74,470,700,Sloop,7.35
Nautitech,441,44,Caribbean,Martinique,279162,2011,6.81,10500,22.6,600,900,Fractional,19.2
Nautitech,441,44,Caribbean,Guadeloupe,255086,2011,6.81,10500,22.6,600,900,Fractional,19.2
Nautitech,441,44,Caribbean,Guadeloupe,254887,2011,6.81,10500,22.6,600,900,Fractional,19.2
Leopard,46,46,Caribbean,British Virgin Islands,126000,2011,7.57,14100,19.6,700,780,Fractional sloop,23.47
Fountaine Pajot,Salina 48,47,Caribbean,Panama,450000,2011,7.7,12000,17.4,480,700,Fractional,20.45
Fountaine Pajot,Lipari 41,39,Caribbean,Guatemala,315000,2012,6.72,9200,20.1,300,530,Sloop,
Alliaura,Feeling 39 DI,39,Europe,Netherlands,229578,2012,4,7100,15.1,200,350,Sloop,16.5
Lagoon,421,41,Europe,Italy,369828,2012,7.5,12100,16.5,600,900,Fractional,19.45
Fountaine Pajot,Helia 44,43.6,Europe,France,520699,2012,7.54,11300,19.94,700,700,Fountaine Pajot,
Fountaine Pajot,Helia 44,43.6,Europe,Greece,449893,2012,7.54,11300,19.94,700,700,Fountaine Pajot,
Fountaine Pajot,Helia 44,43.6,Europe,Greece,449438,2012,7.54,11300,19.94,700,700,Fountaine Pajot,
Antares,44i,44,USA,Florida,749000,2012,13.46,11500,9,700,750,Sloop,7.54
Fountaine Pajot,Salina 48,47,Caribbean,Panama,249000,2012,7.7,12000,17.4,480,700,Fractional,20.45
Fountaine Pajot,Salina 48,47,Europe,France,358056,2012,7.7,12000,17.4,480,700,Fractional,20.45
Voyage Yachts,Voyage 520 DC,52,Caribbean,Barbados,675000,2012,8.53,15500,23.77,1000,1000,Cutter,23.6
Lagoon,400 S2,39,Caribbean,Martinique,285558,2013,7.25,10900,20.5,400,600,Sloop,
Fountaine Pajot,Lipari 41,39,Europe,Croatia,342763,2013,6.72,9200,20.1,300,530,Sloop,
Lagoon,400 S2,39,Europe,Croatia,340115,2013,7.25,10900,20.5,400,600,Sloop,
Fountaine Pajot,Lipari 41,39,Europe,France,328323,2013,6.72,9200,20.1,300,530,Sloop,
Lagoon,400 S2,39,Europe,Croatia,267197,2013,7.25,10900,20.5,400,600,Sloop,
Fountaine Pajot,Lipari 41,39,Europe,Croatia,265811,2013,6.72,9200,20.1,300,530,Sloop,
Lagoon,421,42,Europe,Greece,423599,2013,7.5,12100,16.5,600,900,Fractional,19.45
Lagoon,421,42,Europe,Turkey,380579,2013,7.5,12100,16.5,600,900,Fractional,19.45
Dolphin Ocema,Ocema 42,42,Europe,Portugal,229900,2013,7.38,10500,17.45,460,460,Dolphin Ocema,
Fountaine Pajot,Helia 44,43.6,Caribbean,Martinique,362911,2013,7.54,11300,19.94,700,700,Fountaine Pajot,
Fountaine Pajot,Helia 44,43.6,Europe,Italy,534050,2013,7.54,11300,19.94,700,700,Fountaine Pajot,
Fountaine Pajot,Helia 44,43.6,Europe,Greece,479824,2013,7.54,11300,19.94,700,700,Fountaine Pajot,
Fountaine Pajot,Helia 44,43.6,Europe,Greece,443382,2013,7.54,11300,19.94,700,700,Fountaine Pajot,
Fountaine Pajot,Helia 44,43.6,Europe,Greece,443019,2013,7.54,11300,19.94,700,700,Fountaine Pajot,
Fountaine Pajot,Salina 48,47,Europe,France,473732,2013,7.7,12000,17.4,480,700,Fractional,20.45
Fountaine Pajot,Salina 48,47,Europe,France,473362,2013,7.7,12000,17.4,480,700,Fractional,20.45
Fountaine Pajot,Salina 48,47,Europe,France,473362,2013,7.7,12000,17.4,480,700,Fractional,20.45
Lagoon,52F,52,Europe,Greece,947207,2013,15.84,26000,10,1000,960,Sloop,8.74
Lagoon,52F,52,Europe,Greece,946725,2013,15.84,26000,10,1000,960,Sloop,8.74
Nautitech,542,53.5,Caribbean,Saint-Martin,795000,2013,8.53,15500,17.52,600,800,Nautitech,
Lagoon,380 Owners Version,38,Caribbean,Grenada,303138,2014,6.63,7260,17.37,300,600,Sloop,16.05
Lagoon,380 S2,38,Caribbean,Martinique,218725,2014,6.63,7264,18.55,200,600,Sloop,15.6
Fountaine Pajot,Lipari 41,39,Caribbean,Grenada,345000,2014,6.72,9200,20.1,300,530,Sloop,
Fountaine Pajot,Lipari 41,39,Caribbean,Martinique,235251,2014,6.72,9200,20.1,300,530,Sloop,
Fountaine Pajot,Lipari 41,39,Caribbean,Martinique,234982,2014,6.72,9200,20.1,300,530,Sloop,
Lagoon,400 S2,39,Europe,Greece,333996,2014,7.25,10900,20.5,400,600,Sloop,
Lagoon,400 S2,39,Europe,Greece,327923,2014,7.25,10900,20.5,400,600,Sloop,
Lagoon,400 S2,39,Europe,Greece,327923,2014,7.25,10900,20.5,400,600,Sloop,
Lagoon,400 S2,39,Europe,Malta,327923,2014,7.25,10900,20.5,400,600,Sloop,
Lagoon,400 S2,39,Europe,Greece,327923,2014,7.25,10900,20.5,400,600,Sloop,
Lagoon,400 S2,39,Europe,Greece,327923,2014,7.25,10900,20.5,400,600,Sloop,
Lagoon,400 S2,39,Europe,France,315778,2014,7.25,10900,20.5,400,600,Sloop,
Lagoon,400 S2,39,Europe,France,315778,2014,7.25,10900,20.5,400,600,Sloop,
Fountaine Pajot,Lipari 41,39,Europe,Italy,267522,2014,6.72,9200,20.1,300,530,Sloop,
Lagoon,421,42,Caribbean,Mexico,440000,2014,7.5,12100,16.5,600,900,Fractional,19.45
Lagoon,421,42,Europe,Greece,352619,2014,7.5,12100,16.5,600,900,Fractional,19.45
Lagoon,421,42,Europe,Greece,352214,2014,7.5,12100,16.5,600,900,Fractional,19.45
Lagoon,421,42,Europe,Greece,320000,2014,7.5,12100,16.5,600,900,Fractional,19.45
Lagoon,421,42,Europe,Greece,320000,2014,7.5,12100,16.5,600,900,Fractional,19.45
Fountaine Pajot,Helia 44,43.6,USA,Florida,535000,2014,7.54,11300,19.94,700,700,Fountaine Pajot,
Fountaine Pajot,Salina 48,47,Caribbean,Martinique,563836,2014,7.7,12000,17.4,480,700,Fractional,20.45
Fountaine Pajot,Salina 48,47,USA,Florida,485000,2014,7.7,12000,17.4,480,700,Fractional,20.45
Leopard,48 Crewed Version,48,Caribbean,British Virgin Islands,400000,2014,7.57,18600,19.7,700,780,Fractional Sloop,23.4
Fountaine Pajot,SABA 50,49,Caribbean,Martinique,589724,2014,7.99,14000,18.8,940,700,Sloop,
Fountaine Pajot,SABA 50,49,Caribbean,Guadeloupe,571486,2014,7.99,14000,18.8,940,700,Sloop,
Privilege,Series 5,56,Caribbean,Grenada,899000,2014,8.33,16900,20.63,1100,960,Sloop,21.3
Fountaine Pajot,Lipari 41,39,Caribbean,Martinique,267025,2015,6.72,9200,20.1,300,530,Sloop,
Leopard,Sunsail 404,39,Caribbean,British Virgin Islands,95000,2015,6.1,10660,19.2,350,700,Fractional,18.5
Nautitech,Open 40,39.5,Europe,Spain,364424,2015,6.91,8900,18.85,430,430,Sloop,17.2
Bali,4,40,Europe,France,425604,2015,7.12,10800,16.7,400,800,Fractional Sloop,19.5
Bali,4,40,Europe,France,425144,2015,7.12,10800,16.7,400,800,Fractional Sloop,19.5
Lagoon,421,42,Caribbean,Martinique,363562,2015,7.5,12100,16.5,600,900,Fractional,19.45
Lagoon,421,42,Caribbean,Martinique,363145,2015,7.5,12100,16.5,600,900,Fractional,19.45
Lagoon,421,42,Caribbean,Belize,340459,2015,7.5,12100,16.5,600,900,Fractional,19.45
Lagoon,421,42,Caribbean,Belize,340069,2015,7.5,12100,16.5,600,900,Fractional,19.45
Bali,4.3,42,Europe,Spain,455973,2015,7.42,10800,18.8,400,800,Fractional Sloop,18.5
Bali,4.3,43,Europe,Turkey,519000,2015,7.42,10800,18.8,400,800,Fractional Sloop,18.5
Bali,4.3,43,Europe,Spain,455449,2015,7.42,10800,18.8,400,800,Fractional Sloop,18.5
Bali,4.3,43,USA,Florida,449000,2015,7.42,10800,18.8,400,800,Fractional Sloop,18.5
Fountaine Pajot,Helia 44,43.6,Caribbean,Grenada,559900,2015,7.54,11300,19.94,700,700,Fountaine Pajot,
Fountaine Pajot,Helia 44,43.6,Caribbean,Martinique,473362,2015,7.54,11300,19.94,700,700,Fountaine Pajot,
Fountaine Pajot,Helia 44,43.6,Caribbean,Martinique,443526,2015,7.54,11300,19.94,700,700,Fountaine Pajot,
Fountaine Pajot,Helia 44,43.6,Caribbean,Martinique,443019,2015,7.54,11300,19.94,700,700,Fountaine Pajot,
Fountaine Pajot,Helia 44,43.6,Europe,Italy,510689,2015,7.54,11300,19.94,700,700,Fountaine Pajot,
Fountaine Pajot,Helia 44,43.6,Europe,France,510689,2015,7.54,11300,19.94,700,700,Fountaine Pajot,
Fountaine Pajot,Helia 44,43.6,Europe,Italy,509775,2015,7.54,11300,19.94,700,700,Fountaine Pajot,
Fountaine Pajot,Helia 44,43.6,Europe,Bulgaria,484286,2015,7.54,11300,19.94,700,700,Fountaine Pajot,
Fountaine Pajot,Helia 44,43.6,Europe,Spain,480291,2015,7.54,11300,19.94,700,700,Fountaine Pajot,
Fountaine Pajot,Helia 44,43.6,Europe,Spain,479310,2015,7.54,11300,19.94,700,700,Fountaine Pajot,
Bali,4.5,44.6,Europe,France,510689,2015,7.88,15500,16.68,400,800,Fractional sloop,20.75
Bali,4.5,44.6,Europe,Greece,455973,2015,7.88,15500,16.68,400,800,Fractional sloop,20.75
Bali,4.5,44.6,Europe,Greece,455627,2015,7.88,15500,16.68,400,800,Fractional sloop,20.75
Bali,4.5,44.6,Europe,Greece,454706,2015,7.88,15500,16.68,400,800,Fractional sloop,20.75
Lagoon,450s,45.8,Europe,France,516246,2015,7.9,15500,16.3,1000,700,Sloop,21.45
Lagoon,450S,45.8,Europe,France,515844,2015,13.96,16800,9,1040,700,Sloop,7.87
Lagoon,450S,45.8,Europe,France,504030,2015,13.96,16800,9,1040,700,Sloop,7.87
Lagoon,450S,45.8,Europe,France,503208,2015,13.96,16800,9,1040,700,Sloop,7.87
Fountaine Pajot,SABA 50,49,Caribbean,Martinique,601884,2015,7.99,14000,18.8,940,700,Sloop,
Fountaine Pajot,SABA 50,49,Caribbean,Martinique,589724,2015,7.99,14000,18.8,940,700,Sloop,
Fountaine Pajot,SABA 50,49,Caribbean,Martinique,589343,2015,7.99,14000,18.8,940,700,Sloop,
Fountaine Pajot,SABA 50 Maestro,49,Europe,Italy,1055962,2015,14.98,15700,14.93,1060,700,Sloop,7.99
Fountaine Pajot,SABA 50,49,Europe,Spain,910312,2015,7.99,14000,18.8,940,700,Sloop,
Fountaine Pajot,SABA 50,49,Europe,France,843556,2015,7.99,14000,18.8,940,700,Sloop,
Fountaine Pajot,SABA 50,49,USA,Florida,765000,2015,7.99,14000,18.8,940,700,Sloop,
Voyage Yachts,Voyage 480,50,Caribbean,British Virgin Islands,617000,2015,7.62,15240,20.3,1000,1200,Cutter or Sloop,
Lagoon,52F,52,Caribbean,Martinique,836660,2015,15.84,26000,10,1000,960,Sloop,8.74
Lagoon,52F,52,Caribbean,Guadeloupe,776032,2015,15.84,26000,10,1000,960,Sloop,8.74
Lagoon,52F,52,Europe,Greece,1032492,2015,15.84,26000,10,1000,960,Sloop,8.74
Lagoon,52F,52,Europe,Croatia,911022,2015,15.84,26000,10,1000,960,Sloop,8.74
Privilege,Series 5,56,USA,Florida,1200000,2015,8.33,16900,20.63,1100,960,Sloop,21.3
Privilege,Series 5,56,USA,Florida,999000,2015,8.33,16900,20.63,1100,960,Sloop,21.3
Leopard,40,39,Caribbean,Grenada,365000,2016,6.72,8900,18.2,350,780,Sloop,
Lagoon,400 S2,39,Caribbean,Bahamas,340000,2016,7.25,10900,20.5,400,600,Sloop,
Leopard,40,39,Caribbean,Belize,329000,2016,6.72,8900,18.2,350,780,Sloop,
Leopard,40,39,Caribbean,Belize,329000,2016,6.72,8900,18.2,350,780,Sloop,
Leopard,40,39,Caribbean,Saint Lucia,319000,2016,6.72,8900,18.2,350,780,Sloop,
Leopard,40,39,Europe,Italy,460769,2016,6.72,8900,18.2,350,780,Sloop,
Lagoon,400 S2,39,Europe,Turkey,400850,2016,7.25,10900,20.5,400,600,Sloop,
Fountaine Pajot,Lucia 40,39,Europe,Croatia,363765,2016,6.7,10500,17.5,300,530,Sloop,17.2
Lagoon,400 S2,39,Europe,Greece,327968,2016,7.25,10900,20.5,400,600,Sloop,
Lagoon,400 S2,39,Europe,Croatia,326753,2016,7.25,10900,20.5,400,600,Sloop,
Lagoon,400 S2,39,Europe,Italy,315821,2016,7.25,10900,20.5,400,600,Sloop,
Fountaine Pajot,Lucia 40,39,USA,Massachusetts,395000,2016,6.7,10500,17.5,300,530,Sloop,17.2
Bali,4,40,Caribbean,Grenada,314361,2016,7.12,10800,16.7,400,800,Fractional Sloop,19.5
Bali,4,40,Europe,Greece,395204,2016,7.12,10800,16.7,400,800,Fractional Sloop,19.5
Bali,4,40,Europe,Greece,357702,2016,7.12,10800,16.7,400,800,Fractional Sloop,19.5
Bali,4,40,Europe,Greece,348995,2016,7.12,10800,16.7,400,800,Fractional Sloop,19.5
Chris White,MastFoil 40,40,USA,Florida,295000,2016,7.44,5443,30.48,151,113,Fractional Sloop,21.74
Bali,4.1,41,Europe,Greece,388650,2016,6.72,10300,17.3,800,800,Sloop,
Bali,4.1,41,Europe,Greece,388400,2016,6.72,10300,17.3,800,800,Sloop,
Bali,4.3,42,Europe,Greece,462052,2016,7.42,10800,18.8,400,800,Fractional Sloop,18.5
Lagoon,421,42,Europe,Croatia,460370,2016,7.5,12100,16.5,600,900,Fractional,19.45
Lagoon,421,42,Europe,Croatia,460011,2016,7.5,12100,16.5,600,900,Fractional,19.45
Bali,4.3,43,Caribbean,Saint-Martin,415000,2016,7.42,10800,18.8,400,800,Fractional Sloop,18.5
Bali,4.3,43,Europe,Spain,485155,2016,7.42,10800,18.8,400,800,Fractional Sloop,18.5
Bali,4.3,43,Europe,Greece,480291,2016,7.42,10800,18.8,400,800,Fractional Sloop,18.5
Fountaine Pajot,Helia 44,43.6,Caribbean,U.S. Virgin Islands,582000,2016,7.54,11300,19.94,700,700,Fountaine Pajot,
Fountaine Pajot,Helia 44 Evolution,43.6,Caribbean,U.S. Virgin Islands,582000,2016,7.4,10800,18.26,470,750,Fractional sloop,20.35
Fountaine Pajot,Helia 44,43.6,Europe,France,625569,2016,7.54,11300,19.94,700,700,Fountaine Pajot,
Fountaine Pajot,Helia 44,43.6,Europe,Belgium,595804,2016,7.54,11300,19.94,700,700,Fountaine Pajot,
Fountaine Pajot,Helia 44,43.6,USA,Maryland,589000,2016,7.54,11300,19.94,700,700,Fountaine Pajot,
