Unnamed: 0,Make,Variant,"Length
(ft)",GeographicRegion,Country/Region/State,ListingPrice(USD),Year,宽度（米）,排水量（千克）,面积排水比（SA/Disp）,燃油容量（升）,水容量（升）,帆具类型,MastHeightfromDWL（离水线至桅杆顶部的高度）,经济总量(亿美元),经济增速(%),海岸线长度(千米),人口密度(人/km²),通货膨胀率(%)
357.0,15.0,47.0,44.6,2.0,8.0,583645.0,2019.0,7.88,15500.0,16.68,400.0,800.0,1.0,20.75,60.7,2.9,5835.0,73.0,1.4
358.0,15.0,47.0,44.6,2.0,8.0,583054.0,2019.0,7.88,15500.0,16.68,400.0,800.0,1.0,20.75,60.7,2.9,5835.0,73.0,1.4
359.0,15.0,47.0,44.6,2.0,8.0,558597.0,2019.0,7.88,15500.0,16.68,400.0,800.0,1.0,20.75,60.7,2.9,5835.0,73.0,1.4
234.0,1.0,52.0,39.0,3.0,31.0,395000.0,2016.0,6.7,10500.0,17.5,300.0,530.0,2.0,17.2,,,,,
365.0,3.0,49.0,45.8,2.0,4.0,594150.0,2019.0,13.96,16800.0,9.0,1040.0,700.0,2.0,7.87,1391.8,2.0,4964.0,93.0,0.5
369.0,14.0,42.0,56.0,3.0,6.0,1495000.0,2019.0,8.33,16900.0,20.63,1100.0,960.0,2.0,21.3,1.1,4.6,1350.0,145.0,3.4
243.0,3.0,26.0,42.0,2.0,8.0,460370.0,2016.0,7.5,12100.0,16.5,600.0,900.0,4.0,19.45,60.7,2.9,5835.0,73.0,1.4
244.0,3.0,26.0,42.0,2.0,8.0,460011.0,2016.0,7.5,12100.0,16.5,600.0,900.0,4.0,19.45,60.7,2.9,5835.0,73.0,1.4
121.0,1.0,16.0,47.0,1.0,2.0,450000.0,2011.0,7.7,12000.0,17.4,480.0,700.0,4.0,20.45,66.7,-17.9,2490.0,58.8,0.8
125.0,1.0,33.0,43.6,2.0,17.0,520699.0,2012.0,7.54,11300.0,19.94,700.0,700.0,9.0,,3038.8,2.3,3427.0,119.0,1.1
