length,ListingPrice,Year,Bea,Displacement,S.A./Disp.,FuelCapacity,Water,RiggingType,DWL
38.0,179000.0,2018.0,3.99,6790.0,18.45,130.0,330.0,1.0,15.6
41.0,219000.0,2012.0,3.98,8900.0,18.14,200.0,330.0,2.0,17.6
45.0,255052.0,2018.0,4.49,10812.0,17.42,200.0,330.0,13.0,19.13
43.0,224719.0,2008.0,4.2,9400.0,20.6,220.0,360.0,16.0,20.14
49.0,546613.0,2010.0,4.57,14100.0,17.87,300.0,700.0,17.0,22.1
55.0,637716.0,2018.0,4.96,16900.0,15.67,400.0,694.0,1.0,23.33
51.0,655962.0,2018.0,4.8,14500.0,18.87,568.0,606.0,13.0,21.39
46.0,546613.0,2007.0,4.14,14500.0,17.69,220.0,397.0,2.0,19.0
53.0,646174.0,2007.0,4.88,22680.0,15.34,900.0,950.0,9.0,21.7
44.0,235000.0,2012.0,4.42,9900.0,17.1,200.0,400.0,24.0,16.8
42.0,206498.0,2007.0,4.07,8400.0,20.8,240.0,420.0,4.0,19.85
41.0,220000.0,2016.0,4.2,8950.0,17.08,200.0,330.0,3.0,16.65
42.0,205284.0,2007.0,4.07,8400.0,20.8,240.0,420.0,4.0,19.85
38.0,165000.0,2009.0,3.66,6325.0,22.2,83.0,189.0,16.0,17.22
46.0,255086.0,2018.0,4.5,11200.0,21.1,250.0,530.0,4.0,21.4
41.0,206470.0,2007.0,3.95,8560.0,20.0,200.0,340.0,16.0,19.42
45.0,239849.0,2010.0,4.37,9900.0,17.7,200.0,400.0,4.0,19.2
41.0,216216.0,2018.0,4.2,8950.0,17.08,200.0,330.0,3.0,16.65
41.0,223829.0,2018.0,4.2,8950.0,17.08,200.0,330.0,3.0,16.65
37.0,179000.0,2014.0,3.99,6790.0,18.45,130.0,330.0,1.0,15.6
55.0,629000.0,2016.0,4.87,17700.0,17.09,410.0,930.0,5.0,21.1
54.0,1579105.0,2016.0,4.76,20000.0,19.52,500.0,750.0,3.0,23.5
50.0,607373.0,2012.0,4.5,14000.0,24.5,330.0,400.0,2.0,26.27
50.0,1214531.0,2016.0,4.51,12800.0,22.03,300.0,320.0,1.0,23.6
51.0,545950.0,2018.0,4.69,14935.0,15.08,240.0,640.0,10.0,23.25
45.0,259000.0,2014.0,4.49,10812.0,17.42,200.0,330.0,13.0,19.13
40.0,200476.0,2005.0,3.81,8280.0,18.7,200.0,340.0,16.0,17.98
55.0,649863.0,2018.0,4.87,17700.0,17.09,410.0,930.0,5.0,21.1
52.0,675000.0,2012.0,8.53,15500.0,23.77,1000.0,1000.0,10.0,23.6
49.0,601884.0,2016.0,7.99,14000.0,18.8,940.0,700.0,2.0,17.28951219512195
49.0,595804.0,2016.0,7.99,14000.0,18.8,940.0,700.0,2.0,17.28951219512195
49.0,595000.0,2016.0,7.99,14000.0,18.8,940.0,700.0,2.0,17.28951219512195
42.5,546613.0,2017.0,7.7,12600.0,18.75,300.0,600.0,2.0,19.8
42.5,545648.0,2017.0,7.7,12600.0,18.75,300.0,600.0,2.0,19.8
47.0,516769.0,2006.0,7.6,11500.0,20.24,800.0,800.0,1.0,20.5
42.0,440000.0,2014.0,7.5,12100.0,16.5,600.0,900.0,4.0,19.45
45.8,600000.0,2017.0,13.96,16800.0,9.0,1040.0,700.0,2.0,7.87
45.8,600000.0,2017.0,13.96,16800.0,9.0,1040.0,700.0,2.0,7.87
49.0,589724.0,2014.0,7.99,14000.0,18.8,940.0,700.0,2.0,17.28951219512195
39.0,398929.0,2018.0,6.7,10500.0,17.5,300.0,530.0,2.0,17.2
42.5,484286.0,2018.0,7.7,12600.0,18.75,300.0,600.0,2.0,19.8
43.6,510689.0,2015.0,7.54,11300.0,19.94,700.0,700.0,9.0,17.28951219512195
43.6,510689.0,2015.0,7.54,11300.0,19.94,700.0,700.0,9.0,17.28951219512195
43.6,509775.0,2015.0,7.54,11300.0,19.94,700.0,700.0,9.0,17.28951219512195
48.7,990000.0,2018.0,8.23,12247.0,23.0,600.0,380.0,1.0,22.25
49.0,601884.0,2015.0,7.99,14000.0,18.8,940.0,700.0,2.0,17.28951219512195
49.0,589724.0,2015.0,7.99,14000.0,18.8,940.0,700.0,2.0,17.28951219512195
49.0,589343.0,2015.0,7.99,14000.0,18.8,940.0,700.0,2.0,17.28951219512195
42.0,437734.0,2010.0,7.5,12100.0,16.5,600.0,900.0,4.0,19.45
44.0,525000.0,2010.0,13.46,11500.0,9.0,700.0,750.0,2.0,7.54
44.0,495000.0,2010.0,13.46,11500.0,9.0,700.0,750.0,2.0,7.54
41.0,499000.0,2019.0,7.2,11000.0,20.1,470.0,530.0,3.0,18.6
39.0,400850.0,2016.0,7.25,10900.0,20.5,400.0,600.0,2.0,17.28951219512195
44.6,583645.0,2019.0,7.88,15500.0,16.68,400.0,800.0,1.0,20.75
44.6,583054.0,2019.0,7.88,15500.0,16.68,400.0,800.0,1.0,20.75
44.6,558597.0,2019.0,7.88,15500.0,16.68,400.0,800.0,1.0,20.75
39.0,395000.0,2016.0,6.7,10500.0,17.5,300.0,530.0,2.0,17.2
45.8,594150.0,2019.0,13.96,16800.0,9.0,1040.0,700.0,2.0,7.87
56.0,1495000.0,2019.0,8.33,16900.0,20.63,1100.0,960.0,2.0,21.3
42.0,460370.0,2016.0,7.5,12100.0,16.5,600.0,900.0,4.0,19.45
42.0,460011.0,2016.0,7.5,12100.0,16.5,600.0,900.0,4.0,19.45
47.0,450000.0,2011.0,7.7,12000.0,17.4,480.0,700.0,4.0,20.45
43.6,520699.0,2012.0,7.54,11300.0,19.94,700.0,700.0,9.0,17.28951219512195
