length,ListingPrice,Year,Bea,Displacement,S.A./Disp.,FuelCapacity,Water,RiggingType,DWL
47.0,229000.0,2009.0,4.25,10300.0,16.45,200.0,530.0,3.0,18.17
49.0,285465.0,2009.0,4.47,12695.0,21.5,400.0,570.0,4.0,20.0
38.0,207466.0,2009.0,3.68,5800.0,20.29,200.0,300.0,1.0,19.3
38.0,165000.0,2009.0,3.66,6325.0,22.2,83.0,189.0,16.0,17.22
52.0,564834.0,2009.0,4.75,18597.0,14.74,757.0,1213.0,19.0,20.73
44.0,484664.0,2009.0,4.1,16500.0,15.51,900.0,700.0,27.0,18.5
38.0,363209.0,2009.0,3.75,9300.0,16.79,250.0,480.0,19.0,17.6
54.0,692805.0,2009.0,4.57,21500.0,15.1,1200.0,960.0,19.0,22.58
47.0,495000.0,2009.0,4.57,17010.0,16.9,605.0,1200.0,11.0,19.3
48.0,388650.0,2009.0,4.5,12300.0,22.43,280.0,550.0,2.0,23.4
42.0,423539.0,2009.0,4.11,10900.0,20.98,200.0,330.0,3.0,19.7
43.0,189000.0,2010.0,4.12,8600.0,16.31,200.0,360.0,1.0,17.4
40.0,190707.0,2010.0,3.89,7750.0,20.01,200.0,380.0,1.0,17.45
49.0,546613.0,2010.0,4.57,14100.0,17.87,300.0,700.0,17.0,22.1
48.0,450000.0,2010.0,4.57,15000.0,15.46,757.0,757.0,30.0,17.98
45.0,239849.0,2010.0,4.37,9900.0,17.7,200.0,400.0,4.0,19.2
45.0,249000.0,2010.0,4.37,11500.0,17.39,240.0,610.0,10.0,18.06
49.0,334042.0,2010.0,4.49,13920.0,16.21,240.0,615.0,1.0,19.0
45.0,394776.0,2010.0,4.74,16100.0,15.2,440.0,600.0,25.0,21.6
54.0,615000.0,2010.0,4.57,21500.0,15.1,1200.0,960.0,19.0,22.58
44.0,400850.0,2010.0,4.18,10300.0,23.4,280.0,400.0,4.0,21.8
54.0,479805.0,2010.0,4.38,14500.0,23.16,350.0,600.0,1.0,22.14
42.0,419070.0,2010.0,4.11,10900.0,20.98,200.0,330.0,3.0,19.7
50.0,425086.0,2010.0,4.63,14000.0,21.09,400.0,600.0,2.0,24.5
40.0,179775.0,2011.0,3.89,7750.0,21.1,130.0,360.0,25.0,19.18
40.0,201732.0,2011.0,3.89,7750.0,21.1,130.0,360.0,25.0,19.18
47.0,219000.0,2011.0,4.25,10300.0,16.45,200.0,530.0,3.0,18.17
49.0,309582.0,2011.0,4.82,13880.0,15.0,400.0,980.0,24.0,18.25
44.0,236926.0,2011.0,4.35,10500.0,16.32,250.0,530.0,1.0,19.8
45.0,229578.0,2011.0,4.3,10400.0,18.22,250.0,450.0,1.0,21.4
55.0,498045.0,2011.0,5.05,19500.0,17.15,450.0,600.0,2.0,26.6
55.0,498026.0,2011.0,4.91,21500.0,18.26,500.0,695.0,13.0,28.17
43.0,287721.0,2011.0,3.63,7560.0,20.08,189.0,162.0,15.0,19.0
45.0,245000.0,2011.0,4.37,11500.0,17.39,240.0,610.0,10.0,18.06
42.0,497000.0,2011.0,3.94,10432.0,19.4,130.0,300.0,25.0,17.68
54.0,839360.0,2011.0,4.57,21500.0,15.1,1200.0,960.0,19.0,22.58
46.0,509000.0,2011.0,4.14,13854.0,17.21,303.0,568.0,1.0,19.81
48.0,303674.0,2011.0,4.6,12000.0,22.17,280.0,780.0,3.0,22.6
50.0,479805.0,2011.0,4.18,9900.0,23.81,300.0,400.0,1.0,23.0
50.0,467658.0,2011.0,4.18,9900.0,23.81,300.0,400.0,1.0,23.0
50.0,570907.0,2011.0,4.66,16700.0,17.6,460.0,680.0,16.0,22.97
50.0,631642.0,2011.0,4.66,16700.0,17.6,460.0,680.0,16.0,22.97
40.0,199500.0,2012.0,4.2,8320.0,17.23,200.0,570.0,12.0,16.3
43.0,219000.0,2012.0,4.43,9900.0,16.55,200.0,520.0,3.0,19.2
46.0,321895.0,2012.0,4.43,11030.0,16.53,200.0,570.0,2.0,19.7
49.0,399650.0,2012.0,4.86,14200.0,18.44,600.0,970.0,3.0,22.14
49.0,375000.0,2012.0,4.86,14200.0,18.44,600.0,970.0,3.0,22.14
49.0,423929.0,2012.0,4.86,14200.0,18.44,600.0,970.0,3.0,22.14
49.0,326753.0,2012.0,4.86,14200.0,18.44,600.0,970.0,3.0,22.14
49.0,326709.0,2012.0,4.86,14200.0,18.44,600.0,970.0,3.0,22.14
40.0,267331.0,2012.0,3.8,7800.0,19.6,210.0,360.0,16.0,17.8
49.0,448223.0,2012.0,4.57,14100.0,17.87,300.0,700.0,17.0,22.1
49.0,445794.0,2012.0,4.57,14100.0,17.87,300.0,700.0,17.0,22.1
49.0,393034.0,2012.0,4.57,14100.0,17.87,300.0,700.0,17.0,22.1
40.0,189000.0,2012.0,3.99,7700.0,17.4,200.0,330.0,12.0,16.2
40.0,179937.0,2012.0,3.99,7700.0,17.4,200.0,330.0,12.0,16.2
40.0,179900.0,2012.0,3.99,7700.0,17.4,200.0,330.0,12.0,16.2
41.0,219000.0,2012.0,3.98,8900.0,18.14,200.0,330.0,2.0,17.6
42.0,195000.0,2012.0,4.11,8900.0,17.3,200.0,410.0,13.0,16.92
43.0,236866.0,2012.0,4.24,10800.0,18.19,200.0,530.0,10.0,19.05
44.0,235000.0,2012.0,4.42,9900.0,17.1,200.0,400.0,24.0,16.8
44.0,249000.0,2012.0,4.42,9900.0,17.1,200.0,400.0,24.0,16.8
44.0,251808.0,2012.0,4.42,9900.0,17.1,200.0,400.0,24.0,16.8
46.0,241725.0,2012.0,4.49,10800.0,18.1,240.0,615.0,8.0,19.2
50.0,349000.0,2012.0,4.69,13200.0,16.05,240.0,615.0,10.0,22.15
50.0,352351.0,2012.0,4.69,13935.0,19.61,240.0,640.0,1.0,21.55
50.0,352276.0,2012.0,4.69,13200.0,16.05,240.0,615.0,10.0,22.15
38.0,279391.0,2012.0,3.62,7900.0,27.94,200.0,300.0,1.0,19.99
44.0,475000.0,2012.0,4.16,9700.0,25.2,200.0,340.0,14.0,20.3
44.0,498026.0,2012.0,4.16,9700.0,25.2,200.0,340.0,14.0,20.3
50.0,716700.0,2012.0,4.5,14000.0,24.5,330.0,400.0,2.0,26.27
50.0,716671.0,2012.0,4.5,14000.0,24.5,330.0,400.0,2.0,26.27
50.0,607373.0,2012.0,4.5,14000.0,24.5,330.0,400.0,2.0,26.27
50.0,546635.0,2012.0,4.66,16700.0,17.6,460.0,680.0,16.0,22.97
40.0,220000.0,2013.0,4.2,8820.0,17.2,200.0,570.0,22.0,15.1
40.0,219500.0,2013.0,4.2,8320.0,17.23,200.0,570.0,12.0,16.3
40.0,210000.0,2013.0,4.2,8320.0,17.23,200.0,570.0,12.0,16.3
40.0,229000.0,2013.0,4.2,8320.0,17.23,200.0,570.0,12.0,16.3
40.0,219000.0,2013.0,4.2,8320.0,17.23,200.0,570.0,12.0,16.3
45.0,291527.0,2013.0,4.49,10812.0,17.42,200.0,330.0,13.0,19.13
45.0,249000.0,2013.0,4.49,10812.0,17.42,200.0,330.0,13.0,19.13
48.0,359500.0,2013.0,4.74,12600.0,17.01,200.0,690.0,3.0,19.7
49.0,346988.0,2013.0,4.86,14200.0,18.44,600.0,970.0,3.0,22.14
49.0,321895.0,2013.0,4.86,14200.0,18.44,600.0,970.0,3.0,22.14
54.0,479805.0,2013.0,4.9,16800.0,14.64,475.0,970.0,3.0,22.1
55.0,460370.0,2013.0,4.98,16200.0,17.1,400.0,694.0,16.0,24.98
40.0,220000.0,2013.0,4.2,8900.0,20.4,200.0,380.0,29.0,17.7
40.0,179000.0,2013.0,3.89,7750.0,20.01,200.0,380.0,1.0,17.45
44.0,240477.0,2013.0,4.35,10500.0,16.32,250.0,530.0,1.0,19.8
49.0,358466.0,2013.0,4.77,13905.0,16.6,500.0,720.0,1.0,22.11
50.0,340000.0,2013.0,4.78,14500.0,16.06,757.0,757.0,2.0,20.73
40.0,184900.0,2013.0,3.99,7700.0,17.4,200.0,330.0,12.0,16.2
44.0,229000.0,2013.0,4.42,9900.0,17.1,200.0,400.0,24.0,16.8
46.0,230792.0,2013.0,4.49,10800.0,18.1,240.0,615.0,8.0,19.2
46.0,262982.0,2013.0,4.49,10800.0,18.1,240.0,615.0,8.0,19.2
49.0,303686.0,2013.0,4.49,13920.0,16.21,240.0,615.0,1.0,19.0
50.0,334042.0,2013.0,4.69,13200.0,16.05,240.0,615.0,10.0,22.15
42.0,479740.0,2013.0,3.5,14500.0,12.5,750.0,750.0,36.0,16.5
39.0,333996.0,2013.0,4.35,11500.0,17.6,300.0,640.0,15.0,21.0
39.0,285415.0,2013.0,4.35,11500.0,17.6,300.0,640.0,15.0,21.0
40.0,180990.0,2014.0,3.96,8300.0,18.27,210.0,360.0,1.0,18.2
42.0,218585.0,2014.0,4.29,9900.0,18.3,210.0,360.0,14.0,17.83
37.0,179000.0,2014.0,3.99,6790.0,18.45,130.0,330.0,1.0,15.6
38.0,187302.0,2014.0,3.99,6790.0,18.45,130.0,330.0,1.0,15.6
45.0,259000.0,2014.0,4.49,10812.0,17.42,200.0,330.0,13.0,19.13
45.0,241725.0,2014.0,4.49,10812.0,17.42,200.0,330.0,13.0,19.13
45.0,295000.0,2014.0,4.49,10812.0,17.42,200.0,330.0,13.0,19.13
49.0,382629.0,2014.0,4.86,14200.0,18.44,600.0,970.0,3.0,22.14
49.0,400850.0,2014.0,4.86,14200.0,18.44,600.0,970.0,3.0,22.14
49.0,395000.0,2014.0,4.86,14200.0,18.44,600.0,970.0,3.0,22.14
49.0,315834.0,2014.0,4.86,14200.0,18.44,600.0,970.0,3.0,22.14
37.0,234000.0,2014.0,3.75,6900.0,20.8,150.0,300.0,12.0,17.5
40.0,206551.0,2014.0,4.2,8900.0,20.4,200.0,380.0,29.0,17.7
40.0,205754.0,2014.0,4.2,8900.0,20.4,200.0,380.0,29.0,17.7
40.0,195124.0,2014.0,3.99,7700.0,17.4,200.0,330.0,12.0,16.2
43.0,230792.0,2014.0,4.24,10800.0,18.19,200.0,530.0,10.0,19.05
43.0,275000.0,2014.0,4.24,10800.0,18.19,200.0,530.0,10.0,19.05
43.0,279900.0,2014.0,4.24,10800.0,18.19,200.0,530.0,10.0,19.05
44.0,269900.0,2014.0,4.42,9900.0,17.1,200.0,400.0,24.0,16.8
46.0,242818.0,2014.0,4.49,10800.0,18.1,240.0,615.0,8.0,19.2
46.0,236744.0,2014.0,4.49,10800.0,18.1,240.0,615.0,8.0,19.2
46.0,293110.0,2014.0,4.49,10800.0,18.1,240.0,615.0,8.0,19.2
50.0,389000.0,2014.0,4.69,13200.0,16.05,240.0,615.0,10.0,22.15
53.0,440500.0,2014.0,4.77,15500.0,17.32,240.0,950.0,1.0,20.75
53.0,364800.0,2014.0,4.77,15500.0,17.32,240.0,950.0,1.0,20.75
42.0,379710.0,2014.0,4.22,12000.0,17.01,210.0,360.0,3.0,19.4
53.0,473732.0,2014.0,3.81,9072.0,22.2,190.0,450.0,19.0,18.9
44.0,516246.0,2014.0,4.16,9700.0,25.2,200.0,340.0,14.0,20.3
38.0,189900.0,2015.0,3.99,6790.0,18.45,130.0,330.0,1.0,15.6
40.0,205284.0,2015.0,4.2,8320.0,17.23,200.0,570.0,12.0,16.3
40.0,230000.0,2015.0,4.2,8320.0,17.23,200.0,570.0,12.0,16.3
40.0,219000.0,2015.0,4.2,8320.0,17.23,200.0,570.0,12.0,16.3
45.0,309900.0,2015.0,4.49,10812.0,17.42,200.0,330.0,13.0,19.13
48.0,340115.0,2015.0,4.74,12600.0,17.01,200.0,690.0,3.0,19.7
49.0,399900.0,2015.0,4.86,14200.0,18.44,600.0,970.0,3.0,22.14
40.0,210526.0,2015.0,3.99,7700.0,17.4,200.0,330.0,12.0,16.2
47.0,299000.0,2015.0,4.49,10950.0,17.13,240.0,615.0,10.0,21.8
50.0,350000.0,2015.0,4.69,13200.0,16.05,240.0,615.0,10.0,22.15
53.0,389500.0,2015.0,4.77,15500.0,17.32,240.0,950.0,1.0,20.75
42.0,795000.0,2015.0,4.06,9296.0,20.7,180.0,320.0,4.0,20.12
54.0,1259040.0,2015.0,5.18,26580.0,17.12,1500.0,960.0,19.0,23.49
50.0,668083.0,2015.0,4.35,13000.0,19.8,300.0,700.0,4.0,21.2
38.0,350000.0,2015.0,3.6,7500.0,23.97,200.0,340.0,1.0,18.95
44.0,516246.0,2015.0,4.16,9700.0,25.2,200.0,340.0,14.0,20.3
40.0,180990.0,2016.0,3.96,8300.0,18.27,210.0,360.0,1.0,18.2
40.0,205256.0,2016.0,3.96,8300.0,18.27,210.0,360.0,1.0,18.2
46.0,279720.0,2016.0,4.35,12600.0,16.0,210.0,360.0,12.0,19.05
38.0,119000.0,2016.0,3.99,6790.0,18.45,130.0,330.0,1.0,15.6
45.0,255052.0,2016.0,4.49,10812.0,17.42,200.0,330.0,13.0,19.13
45.0,321895.0,2016.0,4.49,10812.0,17.42,200.0,330.0,13.0,19.13
48.0,389000.0,2016.0,4.74,12600.0,17.01,200.0,690.0,3.0,19.7
48.0,375000.0,2016.0,4.74,12600.0,17.01,200.0,690.0,3.0,19.7
48.0,340115.0,2016.0,4.74,12600.0,17.01,200.0,690.0,3.0,19.7
48.0,397500.0,2016.0,4.74,12600.0,17.01,200.0,690.0,3.0,19.7
40.0,202827.0,2016.0,4.2,8740.0,21.15,200.0,380.0,2.0,18.95
40.0,199900.0,2016.0,4.2,8950.0,17.68,200.0,380.0,1.0,16.4
46.0,241786.0,2016.0,4.5,11200.0,21.1,250.0,530.0,4.0,21.4
46.0,279380.0,2016.0,4.5,11200.0,21.1,250.0,530.0,4.0,21.4
46.0,291527.0,2016.0,4.5,11200.0,21.1,250.0,530.0,4.0,21.4
50.0,376556.0,2016.0,4.97,15800.0,15.2,500.0,720.0,22.0,21.25
56.0,421500.0,2016.0,5.0,17970.0,16.69,500.0,730.0,1.0,26.0
43.0,352276.0,2016.0,4.2,9900.0,18.1,200.0,360.0,4.0,19.5
38.0,182192.0,2016.0,3.76,7700.0,17.08,130.0,200.0,1.0,15.02
41.0,205284.0,2016.0,4.2,8950.0,17.08,200.0,330.0,3.0,16.65
41.0,220000.0,2016.0,4.2,8950.0,17.08,200.0,330.0,3.0,16.65
41.0,199889.0,2016.0,4.2,8950.0,17.08,200.0,330.0,3.0,16.65
44.0,261160.0,2016.0,4.42,9900.0,17.1,200.0,400.0,24.0,16.8
44.0,293043.0,2016.0,4.42,9900.0,17.1,200.0,400.0,24.0,16.8
45.0,230792.0,2016.0,4.24,10262.0,16.9,200.0,530.0,23.0,17.35
45.0,224785.0,2016.0,4.24,10262.0,16.9,200.0,530.0,23.0,17.35
45.0,261122.0,2016.0,4.24,10262.0,16.9,200.0,530.0,23.0,17.35
46.0,267233.0,2016.0,4.49,11040.0,17.1,240.0,618.0,23.0,21.7
51.0,363194.0,2016.0,4.69,14935.0,15.08,240.0,640.0,10.0,23.25
55.0,629000.0,2016.0,4.87,17700.0,17.09,410.0,930.0,5.0,21.1
55.0,600000.0,2016.0,4.87,17700.0,17.09,410.0,930.0,5.0,21.1
55.0,599999.0,2016.0,4.87,17700.0,17.09,410.0,930.0,5.0,21.1
50.0,1214531.0,2016.0,4.51,12800.0,22.03,300.0,320.0,1.0,23.6
54.0,1579105.0,2016.0,4.76,20000.0,19.52,500.0,750.0,3.0,23.5
48.0,757770.0,2016.0,4.77,15000.0,17.7,600.0,900.0,11.0,22.67
50.0,734921.0,2016.0,4.5,14000.0,24.5,330.0,400.0,2.0,26.27
41.0,412941.0,2017.0,4.32,10500.0,14.97,240.0,600.0,1.0,18.4
40.0,225722.0,2017.0,3.96,8300.0,18.27,210.0,360.0,1.0,18.2
40.0,217127.0,2017.0,3.96,8300.0,18.27,210.0,360.0,1.0,18.2
40.0,185849.0,2017.0,3.96,8300.0,18.27,210.0,360.0,1.0,18.2
49.0,350744.0,2017.0,4.67,14500.0,16.16,280.0,560.0,5.0,21.75
49.0,342393.0,2017.0,4.67,14500.0,16.16,280.0,560.0,5.0,21.75
49.0,326418.0,2017.0,4.67,13490.0,17.5,280.0,650.0,1.0,20.53
54.0,734791.0,2017.0,5.28,18600.0,15.12,660.0,800.0,1.0,24.2
38.0,159000.0,2017.0,3.99,6790.0,18.45,130.0,330.0,1.0,15.6
45.0,285526.0,2017.0,4.49,10812.0,17.42,200.0,330.0,13.0,19.13
45.0,241786.0,2017.0,4.49,10812.0,17.42,200.0,330.0,13.0,19.13
45.0,278165.0,2017.0,4.49,10812.0,17.42,200.0,330.0,13.0,19.13
45.0,349000.0,2017.0,4.49,10812.0,17.42,200.0,330.0,13.0,19.13
48.0,290324.0,2017.0,4.74,12600.0,17.01,200.0,690.0,3.0,19.7
42.0,546613.0,2017.0,3.82,7800.0,24.9,200.0,300.0,34.0,19.2
46.0,243001.0,2017.0,4.5,11200.0,21.1,250.0,530.0,4.0,21.4
46.0,364409.0,2017.0,4.5,11200.0,21.1,250.0,530.0,4.0,21.4
46.0,264804.0,2017.0,4.5,10750.0,16.4,250.0,530.0,16.0,19.2
46.0,291527.0,2017.0,4.5,11200.0,21.1,250.0,530.0,4.0,21.4
39.0,206490.0,2017.0,3.87,8300.0,18.77,190.0,220.0,34.0,17.15
39.0,206551.0,2017.0,3.91,8800.0,19.15,170.0,320.0,1.0,18.5
56.0,722646.0,2017.0,5.2,20100.0,19.14,520.0,810.0,3.0,26.35
38.0,191922.0,2017.0,3.76,7700.0,17.08,130.0,200.0,1.0,15.02
41.0,226487.0,2017.0,4.2,8950.0,17.08,200.0,330.0,3.0,16.65
46.0,334055.0,2017.0,4.49,11040.0,17.1,240.0,618.0,23.0,21.7
46.0,297601.0,2017.0,4.49,11040.0,17.1,240.0,618.0,23.0,21.7
51.0,406923.0,2017.0,4.69,14400.0,14.8,240.0,640.0,20.0,22.2
51.0,360765.0,2017.0,4.69,14935.0,15.08,240.0,640.0,10.0,23.25
51.0,354691.0,2017.0,4.69,14935.0,15.08,240.0,640.0,10.0,23.25
51.0,499619.0,2017.0,4.69,14400.0,14.8,240.0,640.0,20.0,22.2
51.0,433003.0,2017.0,4.69,14400.0,14.8,240.0,640.0,20.0,22.2
51.0,450000.0,2017.0,4.69,14935.0,15.08,240.0,640.0,10.0,23.25
55.0,618000.0,2017.0,4.87,17700.0,17.09,410.0,930.0,5.0,21.1
55.0,579000.0,2017.0,4.87,17700.0,17.09,410.0,930.0,5.0,21.1
55.0,501081.0,2017.0,4.87,17700.0,17.09,410.0,930.0,5.0,21.1
55.0,599687.0,2017.0,4.87,17700.0,17.09,410.0,930.0,5.0,21.1
55.0,512942.0,2017.0,4.87,17700.0,17.09,410.0,930.0,5.0,21.1
50.0,1311872.0,2017.0,4.48,17200.0,20.92,400.0,750.0,1.0,22.85
48.0,691190.0,2017.0,4.77,15000.0,17.7,600.0,900.0,11.0,22.67
48.0,642600.0,2017.0,4.77,15000.0,17.7,600.0,900.0,11.0,22.67
50.0,727632.0,2017.0,4.5,14000.0,24.5,330.0,400.0,2.0,26.27
40.0,229000.0,2018.0,3.96,8300.0,18.27,210.0,360.0,1.0,18.2
40.0,205256.0,2018.0,3.96,8300.0,18.27,210.0,360.0,1.0,18.2
40.0,200425.0,2018.0,3.96,8300.0,18.27,210.0,360.0,1.0,18.2
44.0,267301.0,2018.0,4.34,12000.0,17.41,210.0,360.0,13.0,19.25
45.0,334126.0,2018.0,4.49,12600.0,18.9,210.0,650.0,1.0,21.85
38.0,179000.0,2018.0,3.99,6790.0,18.45,130.0,330.0,1.0,15.6
40.0,212543.0,2018.0,4.2,8880.0,17.39,200.0,570.0,2.0,17.1
45.0,255052.0,2018.0,4.49,10812.0,17.42,200.0,330.0,13.0,19.13
45.0,388000.0,2018.0,4.49,10812.0,17.42,200.0,330.0,13.0,19.13
51.0,479824.0,2018.0,4.8,13930.0,16.1,200.0,770.0,37.0,21.85
51.0,394792.0,2018.0,4.8,13930.0,16.1,200.0,770.0,37.0,21.85
51.0,655962.0,2018.0,4.8,14500.0,18.87,568.0,606.0,13.0,21.39
55.0,637716.0,2018.0,4.96,16900.0,15.67,400.0,694.0,1.0,23.33
40.0,229000.0,2018.0,4.2,8740.0,21.15,200.0,380.0,2.0,18.95
46.0,399659.0,2018.0,4.5,11200.0,21.1,250.0,530.0,4.0,21.4
46.0,372982.0,2018.0,4.5,11200.0,21.1,250.0,530.0,4.0,21.4
46.0,255086.0,2018.0,4.5,11200.0,21.1,250.0,530.0,4.0,21.4
50.0,498026.0,2018.0,5.02,14600.0,18.34,500.0,720.0,1.0,21.4
50.0,483449.0,2018.0,4.99,15900.0,16.32,500.0,720.0,14.0,23.6
50.0,388703.0,2018.0,5.02,14600.0,18.34,500.0,720.0,1.0,21.4
50.0,338723.0,2018.0,5.02,14600.0,18.34,500.0,720.0,1.0,21.4
50.0,425144.0,2018.0,4.99,15900.0,16.32,500.0,720.0,14.0,23.6
50.0,400996.0,2018.0,5.02,14600.0,18.34,500.0,720.0,1.0,21.4
